# 01_Introduction.pdf	42 頁
# page	title
1	MATH 408/524
2	Lectures
3	Textbook and requirement
4	Textbook and requirement
5	Grading policy
6	Learning Python
7	Environment
8	https://www.kaggle.com/competi
9	This course – focus on modeling and
10	Related to other course
11	Introduction
12	Statistical Learning In The News (topic 2)
13	Statistical Learning In The News
14	Statistical Learning In The News
15	Statistical Learning In The News
16	Statistical Learning In The News
17	Statistical Learning In The News
18	Statistical Learning In The News
19	What is the difference between statistics, machine learning, data
20	Statistical Learning versus Machine Learning – textbook author’s
21	Statistical Learning versus Machine Learning – a personal view
22	Data Scientist: The Sexiest Job of the 21st Century
23	The Supervised Learning Problem (topics 3-9)
24	Objectives and Philosophy
25	The Unsupervised Learning Problem (topic 12)
26	The Netflix prize
27	Recommendation System
28	Top 10 Ideas in Statistics That Have Powered the AI Revolution
29	Exploratory Data Analysis (EDA) and Data Mining
30	DataFrame
31	Some common statistics
32	Visualization
33	Name Description n p
34	Wage data
35	Stock Market data
36	Gene Expression Data
37	Auto data
38	Bikeshare Data
39	Conclusion
40	Appendix
41	The Pydata Stack
42	Dataset and competition
