# 02_Statistical_Learning.pdf	41 頁
# page	title
1	Statistical Learning
2	y=某產品在200個市場的銷售量
3	Notation
4	Notation
5	What is 𝑓(𝑋) and why do we need 𝑓(X)?
6	Why estimating 𝑓
7	Why estimating 𝑓
8	How to estimating 𝑓
9	Supervised vs Unsupervised learning
10	2. The regression problem
11	The regression function 𝑓(𝑥)
12	How to estimate 𝑓 - Nearest neighbor averaging
13	The curse of dimensionality…
14	The curse of dimensionality
15	The curse of dimensionality
16	3. Parametric and structured models
17	 A linear model 𝑓መ𝐿 𝑋 = 𝛽መ0 + 𝛽መ1 𝑋 gives a reasonable ﬁt here
18	 Simulated example. Red points are simulated values for income from the
19	 Linear regression model ﬁt to the simulated data
20	 More ﬂexible regression model 𝑓መ𝑠 (𝑒𝑑𝑢𝑐𝑎𝑡𝑖𝑜𝑛, 𝑠𝑒𝑛𝑖𝑜𝑟𝑖𝑡𝑦) ﬁt to the simulated
21	 Even more ﬂexible spline regression model 𝑓መ𝑠 (𝑒𝑑𝑢𝑐𝑎𝑡𝑖𝑜𝑛, 𝑠𝑒𝑛𝑖𝑜𝑟𝑖𝑡𝑦) ﬁt to the
22	4. Some trade-oﬀs
23	
24	Assessing model accuracy
25	 The black curve is truth. Red curve on the right is 𝑀𝑆𝐸𝑇𝑒 , grey curve is 𝑀𝑆𝐸𝑇𝑟 .
26	 Here, the truth is smoother, so the smoother ﬁt and linear model do really well
27	 Here, the truth is wiggly and the noise is low, so the more ﬂexible ﬁts do the
28	Bias-Variance Trade-oﬀ
29	https://jason-chen-1992.weebly.com/home/-bias-variance-tradeoff
30	Bias-variance trade-oﬀ for the three examples
31	5. Classiﬁcation Problems
32	The orange/blue marks indicate the response 𝑌, either 0 or 1
33	 Nearest-neighbor averaging can be used as before. It also breaks down as the
34	Classiﬁcation: some details
35	Example: 𝐾-nearest neighbors in two dimensions
36	Example: 𝐾-nearest neighbors in two dimensions
37	Example: 𝐾-nearest neighbors in two dimensions
38	Example: 𝐾-nearest neighbors in two dimensions
39	Appendix
40	The Bias-variance tradeoff
41	https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/overfit-v6.pdf
