# 03_Regression.pdf	70 頁
# page	title
1	Regression
2	Linear regression
3	Linear regression for the advertising data
4	(1) Simple linear regression using a single predictor 𝑋
5	Estimation of the parameters by least squares
6	Example: Advertising data
7	Assessing the Accuracy of the Coeﬃcient Estimates
8	Assessing the Accuracy of the Coeﬃcient Estimates
9	Conﬁdence intervals — continued
10	Hypothesis testing
11	Hypothesis testing — continued
12	Assessing the Overall Accuracy of the Model
13	Advertising data results
14	Extension of simple linear regression
15	(2) Multiple Linear Regression
16	Estimation and Prediction for Multiple Regression
17	
18	Results for advertising data
19	Some important questions
20	Is at least one predictor useful?
21	Is at least one predictor useful?
22	Deciding on the important variables
23	Model fit and prediction
24	Confidence interval versus prediction interval
25	(3) Other Considerations in the Regression Model
26	Qualitative Predictors — continued
27	Qualitative predictors with more than two levels
28	Qualitative predictors with more than two levels
29	Extensions of the Linear Model
30	Extensions of the Linear Model
31	Modelling interactions — Advertising data
32	Modelling interactions — Advertising data
33	Interactions between qualitative and quantitative variables
34	Interactions between qualitative and quantitative variables
35	Non-linear eﬀects of predictors
36	Non-linear eﬀects of predictors
37	(4) Potential Problems
38	1. Non-linearity of the Data
39	 The red line is a smooth ﬁt to the residuals, which is displayed in order to make it easier to
40	2. Correlation of Error Terms
41	2. Correlation of Error Terms
42	3. Non-constant Variance of Error Terms
43	4. Outliers (unusual 𝑦)
44	4. Outliers
45	5. High Leverage Points (unusual 𝑥)
46	5. High Leverage Points
47	5. High Leverage Points
48	6. Collinearity
49	6. Collinearity
50	6. Collinearity
51	6. Collinearity
52	6. Collinearity
53	(5) Comparison of Linear Regression with K-Nearest Neighbors
54	Comparison of Linear Regression with K-Nearest Neighbors
55	Comparison of Linear Regression with K-Nearest Neighbors
56	Comparison of Linear Regression with K-Nearest Neighbors
57	Comparison of Linear Regression with K-Nearest Neighbors
58	Comparison of Linear Regression with K-Nearest Neighbors
59	Generalizations of the Linear Model
60	Appendix
61	Reference
62	Deciding on the important variables - Forward selection
63	Deciding on the important variables - Backward selection
64	Deciding on the important variables - Mixed selection
65	Deciding on the important variables - Mixed selection
66	Bootstrap for confidence interval
67	Bootstrap for confidence interval https://www.statsmodels.org/stable/examples/notebooks/generated/lowess.html#Confidence-interval
68	CCPR plot or Partial regression plot
69	Two quotes by famous Statisticians
70	Interpreting regression coeﬃcients
