# 04_Classification.pdf	61 頁
# page	title
1	Classification
2	Classiﬁcation
3	Example Dataset: Credit Card Default
4	Can we use Linear Regression?
5	Can we use Linear Regression?
6	Can we use Linear Regression?
7	1. Logistic Regression
8	Estimating the Regression Coeﬃcients - Maximum Likelihood
9	Making Predictions
10	Making Predictions
11	Logistic regression with several variables
12	Confounding
13	Multinomial logistic regression - with more than two classes
14	2. Why use the other approaches?
15	Generative Models for Classiﬁcation
16	Bayes theorem for classiﬁcation
17	Classify to the highest density
18	Linear Discriminant Analysis when 𝑝 = 1
19	Estimating the parameters – Maximum likelihood
20	Discriminant functions
21	Discriminant functions – simulation data
22	Linear Discriminant Analysis when 𝑝 > 1
23	Illustration: 𝑝 = 2 and 𝐾 = 3 classes
24	(Optional) Alternative view of LDA (link with Fisher LDA)
25	(Optional) Alternative view of LDA (link with Fisher LDA)
26	(Optional) Alternative view of LDA (link with Fisher LDA)
27	Fisher’s Iris Data
28	Fisher’s Discriminant Plot only two orange and one green are misclassified
29	Back to the LDA on Credit Data
30	Types of errors
31	Varying the threshold
32	Negative Positive
33	Other forms of Discriminant Analysis
34	Quadratic Discriminant Analysis
35	Naive Bayes
36	Naive Bayes
37	Naive Bayes
38	3. An Analytical Comparison of different methods
39	An Analytical Comparison of different methods
40	An Analytical Comparison of different methods
41	An Empirical Comparison
42	An Empirical Comparison
43	An Empirical Comparison
44	An Empirical Comparison
45	An Empirical Comparison
46	Bikeshare dataset
47	Linear Regression on the Bikeshare Data
48	Bikeshare dataset
49	4. Poisson Regression
50	Poisson Regression on the Bikeshare Data
51	Generalized Linear Models (GLM) in Greater Generality
52	Generalized Linear Models in Greater Generality
53	Appendix
54	GLM vs linear regression
55	Coefficient and Standard error
56	Review of Covariance Matrix
57	Review of eigenvalue decomposition- Maximum variance
58	Review of eigenvalue decomposition- Maximum variance
59	Principal Component Analysis (PCA) (1/2)
60	Principal Component Analysis (PCA) (2/2)
61	 https://web.stanford.edu/class/stats191/notebooks/Logistic.html
