# 05_Resampling_Methods.pdf	42 頁
# page	title
1	Resampling Methods
2	1. Why resampling?
3	Cross-validation and the bootstrap
4	Training versus testing-set performance
5	More on prediction-error estimates
6	More on prediction-error estimates
7	Validation-set approach
8	Example: automobile data
9	Drawbacks of validation set approach
10	2. Leave-One-Out Cross-Validation (LOOCV)
11	Auto data revisited
12	A nice special case!
13	𝐾-fold cross-validation
14	The details
15	True and estimated test MSE for the simulated data
16	Bias-variance trade-off for cross-validation
17	Cross-validation for classification problems
18	Cross-validation for classification problems
19	Cross-validation: right and wrong
20	(Optional) More about cross-validation
21	(Optional) More about cross-validation
22	3. The Bootstrap
23	Where does the name came from?
24	A simple example
25	Example continued
26	Example continued
27	Example continued
28	Results
29	Now back to the real world
30	A general picture for the bootstrap
31	Example with just 3 observations
32	Bootstrap of 𝛼
33	Other uses of the bootstrap
34	Bootstrap for confidence interval
35	The bootstrap in general
36	Can the bootstrap estimate prediction error?
37	Appendix
38	Other resampling methods
39	The Bootstrap versus Permutation tests
40	Permutation Test
41	Permutation Test - Classifier
42	Permutation Test - Classifier
