# 06_Linear_Model_Selection.pdf	70 頁
# page	title
1	Linear model selection and regularization
2	Linear Model Selection and Regularization
3	In praise of linear models!
4	Why consider alternatives to least squares?
5	Three classes of methods
6	1. Subset Selection
7	Example - Credit card data set
8	Extensions to other models
9	Stepwise Selection
10	Forward Stepwise Selection
11	In Detail
12	More on Forward Stepwise Selection
13	Credit data example
14	Backward Stepwise Selection
15	Backward Stepwise Selection: details
16	More on Backward Stepwise Selection
17	Choosing the Optimal Model
18	Credit data example
19	Details on 𝐶𝐶𝑝𝑝 and AIC
20	Details on BIC
21	Adjusted 𝑅𝑅2
22	Validation and cross-validation
23	Credit data example
24	One-standard-error rule
25	2. Shrinkage Methods
26	Ridge regression
27	Ridge regression: continued
28	Credit data example
29	Details of Previous Figure
30	Ridge regression: scaling of predictors
31	Why Does Ridge Regression Improve Over Least Squares?
32	The Lasso (Least Absolute Shrinkage and Selection Operator)
33	The Lasso: continued
34	Example: Credit dataset
35	The Variable Selection Property of the Lasso
36	The Lasso Picture
37	More about intuition (exercise 6)
38	More about intuition
39	(Optional) Bayesian interpretation (exercise 7)
40	Comparing the Lasso and Ridge Regression
41	Comparing the Lasso and Ridge Regression: continued
42	Short Conclusions
43	Selecting the Tuning Parameter for Ridge Regression and Lasso
44	Credit data example
45	Simulated data example
46	3. Dimension Reduction Methods
47	Dimension Reduction Methods: details
48	Dimension Reduction Methods: details
49	Principal Components Regression
50	Pictures of PCA
51	Pictures of PCA: continued
52	Pictures of PCA: continued
53	Application to Principal Components Regression
54	Application to Principal Components Regression
55	Choosing the number of directions 𝑀𝑀
56	Partial Least Squares
57	Partial Least Squares: continued
58	Details of Partial Least Squares
59	4. Consideration in high dimensions
60	Consideration in high dimensions
61	 The lasso was performed with 𝑛𝑛 = 100 observations and three values of 𝑝𝑝. Of
62	Summary
63	Appendix
64	Comparison between the methods
65	Review of Covariance Matrix
66	Review of eigenvalue decomposition- Maximum variance
67	Review of eigenvalue decomposition- Maximum variance
68	Principal Component Analysis (PCA) (1/2)
69	Principal Component Analysis (PCA) (2/2)
70	LAR and group Lasso in ESL
