# 07_Moving_Beyond_Linearity.pdf	54 頁
# page	title
1	Moving Beyond Linearity
2	This course – focus on modeling and
3	
4	Moving Beyond Linearity
5	1. Polynomial Regression on wage dataset
6	Details
7	Details continued
8	2. Step Functions (Piecewise-constant)
9	Step functions continued
10	Link with the basis function
11	3. Regression Splines - Piecewise Polynomials
12	3. Regression Splines - Piecewise Polynomials
13	3.1 Regression Splines - Linear Splines
14	3.1 Regression Splines - Linear Splines
15	3.2 Regression Splines - Cubic Splines
16	
17	
18	3.3 Regression Splines - Natural Cubic Splines
19	Regression Splines
20	Regression Splines
21	Regression Splines
22	Regression Splines
23	Knot placement
24	4. Smoothing Splines
25	Smoothing Splines
26	Smoothing Splines – choosing 𝜆
27	Smoothing Splines
28	5. Local Regression
29	Local Regression
30	Local Regression
31	Local Regression - considerations
32	Local Regression
33	Local Regression
34	6. GAMs for Regression Problems
35	GAMs for Regression Problems
36	Generalized Additive Models
37	Generalized Additive Models
38	Pros and Cons of GAMs
39	Pros and Cons of GAMs
40	GAMs for Classiﬁcation Problems
41	GAMs for Classiﬁcation Problems
42	GAMs for Classiﬁcation Problems
43	GAMs for Classiﬁcation Problems
44	GAMs for Classiﬁcation Problems
45	Appendix
46	Natural Cubic Spline Basis (ESL 5.2)
47	Smoothing Splines (ESL 5.4 and appendix of ESL ch5)
48	Nonparametric Logistic Regression (ESL 5.6)
49	Thin-Plate Splines (Multidimensional Splines) (ESL 5.7)
50	Thin-Plate Splines
51	B-spline (ESL 5-Appendix)
52	Some notes about plotting
53	Partial dependence plots (PDP)
54	Partial dependence plots (PDP)
