# 08_Tree-Based_Methods.pdf	80 頁
# page	title
1	Tree-Based Methods
2	Tree-based Methods
3	Pros and Cons
4	Baseball salary data: how would you stratify it?
5	A taste of decision tree
6	Decision tree for these data
7	Details of previous ﬁgure
8	Details of previous ﬁgure
9	Interpretation
10	Details of the tree-building process
11	Details of the tree-building process – Step 1
12	Details of the tree-building process – Step 1
13	Details of the tree-building process – Step 1
14	Predictions
15	Regularization
16	Pruning a tree
17	Choosing the best subtree
18	
19	Baseball example revisit
20	Baseball example revisit
21	Baseball example continued
22	Classiﬁcation Trees
23	Details of classiﬁcation trees
24	Gini index and cross-entropy
25	Gini index and cross-entropy
26	Example: Heart data
27	 There are some qualitative predictors
28	Trees Versus Linear Models
29	Advantages and Disadvantages of Trees
30	Why and when to use ensemble learning?
31	Simple example - Voting classifier
32	Ensemble method - Bagging
33	Bagging— continued
34	Bagging classiﬁcation trees
35	Bagging the heart data
36	Details of previous ﬁgure
37	Out-of-Bag Error Estimation
38	Ensemble method - Random Forests
39	Ensemble method - Random Forests
40	Example: gene expression data
41	Results: gene expression data
42	Details of previous ﬁgure
43	Ensemble method - Boosting
44	Ensemble method - AdaBoost
45	Gradient Boosting
46	Gradient Boosting algorithm for regression trees (GBDT/GBRT)
47	What is the idea behind this procedure?
48	Gradient Boosting
49	Gene expression data continued
50	Details of previous ﬁgure
51	Variable importance measure
52	XGBoost
53	XGBoost
54	XGBoost
55	XGBoost
56	LightGBM
57	LightGBM
58	CatBoost
59	CatBoost
60	Hyperparameters
61	Hyperparameters
62	Conclusion
63	Appendix
64	The tree training algorithm
65	The tree training algorithm
66	Other ensemble methods - Stacking
67	Other ensemble methods
68	Other ensemble methods - AdaBoost
69	ESL 10.9 – Boosting Trees
70	Encoding categorical variable – One hot encoding
71	Encoding categorical variable – Label encoding
72	Encoding categorical variable – Target encoding
73	Encoding categorical variable – Target encoding
74	Ensemble method - Bayesian Additive Regression Trees (BART)
75	Bayesian Additive Regression Trees (BART)
76	
77	Bayesian Additive Regression Trees (BART)
78	
79	Tuning parameters for BART
80	Reference
