# 09_Support_Vector_Machines.pdf	40 頁
# page	title
1	Support Vector Machines
2	Generative and Discriminative Models for Classiﬁcation
3	Support Vector Machines
4	Why Support Vector Machine?
5	What is a Hyperplane?
6	Hyperplane in 2 Dimensions
7	Separating Hyperplanes
8	1. Maximal Margin Classiﬁer
9	1. Maximal Margin Classiﬁer
10	Non-separable Data
11	Noisy Data
12	2. Support Vector Classiﬁer (SVC)
13	2. Support Vector Classiﬁer (SVC)
14	Const is a regularization parameter
15	Computing the Support Vector Classiﬁer
16	Computing the Support Vector Classiﬁer
17	Computing the Maximal Margin Classiﬁer (Assume 𝜖𝑖 = 0)
18	Computing the Support Vector Classiﬁer (Assume 𝜖𝑖 ≠ 0)
19	Linear boundary can fail
20	Feature Expansion
21	Feature Expansion - Cubic Polynomials
22	Nonlinearities and Kernels
23	Inner products and support vectors
24	3. Kernels and Support Vector Machines
25	3. Kernels and Support Vector Machines
26	Radial Basis Kernel
27	Example: Heart Data
28	Example continued: Heart Test Data
29	SVMs: more than 2 classes?
30	Support Vector versus Logistic Regression?
31	Support Vector versus Logistic Regression?
32	SGD classifier
33	Computations
34	SVM
35	Appendix
36	Reference
37	Statistical Modeling Y ∼ X:
38	Perceptron: I only need to know the hyperplane!
39	From Perceptron to SVM
40	Common kernels
