# 12_Unsupervised_learning.pdf	106 頁
# page	title
1	Unsupervised Learning
2	Unsupervised Learning
3	Advantages
4	The Challenge/Promising of Unsupervised Learning
5	The Goals of Unsupervised Learning
6	What we would like to address
7	Dimensional reduction by linear projection
8	Principal Components Analysis (PCA)
9	Principal Components Analysis (PCA)
10	Principal Components Analysis: details
11	Principal Components Analysis: details
12	Further principal components
13	PCA: example
14	Illustration
15	USAarrests data: PCA biplot
16	Figure details
17	Another Interpretation of Principal Components
18	Another Interpretation of Principal Components
19	Another interpretation of principal components
20	More on PCA – Proportion Variance Explained
21	Proportion Variance Explained: continued
22	More on PCA - How many principal components should we use?
23	More on PCA - Scaling of the variables matters
24	More on PCA – Uniqueness
25	More on PCA – Connection with SVD and EVD
26	More on PCA – Connection with SVD and EVD
27	More on PCA – Connection with SVD and EVD
28	More on PCA – Connection with SVD and EVD
29	Other Uses for Principal Components
30	Missing Values and Matrix Completion
31	Missing Values and Matrix Completion
32	Principal Components with Missing Values
33	
34	Example on USArrests data
35	Example on USArrests data
36	Example on USArrests data
37	Recommender Systems
38	Recommender Systems
39	Manifold Learning
40	Manifold Learning
41	t-SNE (t-distributed Stochastic Neighbor Embedding)
42	Stochastic Neighbor Embedding (SNE)
43	Stochastic Neighbor Embedding
44	The problem of SNE
45	t-distribution
46	Symmetry
47	t-Stochastic Neighbor Embedding
48	t-Stochastic Neighbor Embedding
49	Parameters
50	Parameters
51	Caveats
52	 Coordinates after embedding have no meaning. The global structure is not
53	Caveats
54	Cluster analysis
55	Clustering vs PCA
56	Good EDA clustering algorithm
57	57 https://scikit-learn.org/stable/modules/clustering.html
58	Three clustering methods
59	Details of K-means clustering
60	Details of K-means clustering
61	Details of K-means clustering: continued
62	How to deﬁne within-cluster variation?
63	Details of K-means clustering
64	Properties of the Algorithm
65	Example
66	Details of previous figure
67	Example: diﬀerent starting values and different 𝐾
68	Details of previous figure
69	Hierarchical Clustering
70	Agglomerative (bottom up) Clustering
71	An example dataset
72	Application of hierarchical clustering
73	Details of previous figure
74	Assumption behind Hierarchical Clustering
75	Another Example
76	Merges in previous example
77	Hierarchical Clustering
78	Types of Linkage
79	Types of Linkage
80	Types of Linkage
81	Density-based spatial clustering of applications with noise
82	DBSCAN
83	DBSCAN
84	Hierarchical DBSCAN (HDBSCAN)
85	Hierarchical DBSCAN (HDBSCAN)
86	Choice of dissimilarity measure
87	Choice of dissimilarity measure
88	Scaling of the variables matters
89	Practical issues - Validating the clusters obtained
90	Practical issues
91	Practical issues
92	Clustering for categorical data
93	Conclusions
94	Conclusions
95	Appendix
96	Additional topics
97	Self-supervised learning
98	More on PCA – Connection with SVD and EVD
99	Perplexity, a smooth measure of the # of neighbors
100	Clustering analysis - Example
101	Mean shift
102	Mean shift
103	Example
104	Clustering as a preprocessing method
105	Clustering for semi-supervised learning
106	Practical issues
