# chapter	title	pdf_from	pdf_to	printed_from	printed_to
1	Introduction	21	27	2	8
2	Overview of Supervised Learning	29	61	10	42
3	Linear Methods for Regression	63	119	44	100
4	Linear Methods for Classification	121	157	102	138
5	Basis Expansions and Regularization	159	209	140	190
6	Kernel Smoothing Methods	211	237	192	218
7	Model Assessment and Selection	239	279	220	260
8	Model Inference and Averaging	281	313	262	294
9	Additive Models, Trees, and Related Methods	315	355	296	336
10	Boosting and Additive Trees	357	407	338	388
11	Neural Networks	408	435	389	416
12	Flexible Discriminants	437	477	418	458
13	Prototypes and Nearest-Neighbors	479	503	460	484
14	Unsupervised Learning	505	605	486	586
15	Random Forests	607	623	588	604
16	Ensemble Learning	625	643	606	624
17	Undirected Graphical Models	645	667	626	648
18	High-Dimensional Problems: p ≫ N	669	717	650	698
