# chapter	title	pdf_from	pdf_to	printed_from	printed_to
1	Introduction	13	24	2	13
2	Statistical Learning	26	76	16	66
3	Linear Regression	79	143	70	134
4	Classification	145	207	136	198
5	Resampling Methods	210	236	202	228
6	Linear Model Selection and Regularization	238	296	230	288
7	Moving Beyond Linearity	298	336	290	328
8	Tree-Based Methods	339	373	332	366
9	Support Vector Machines	375	405	368	398
10	Deep Learning	407	473	400	466
11	Survival Analysis and Censored Data	476	508	470	502
12	Unsupervised Learning	510	562	504	556
13	Multiple Testing	564	602	558	596
